AREA,ITEM,YEAR,YIELD,AREA_HARVESTED,PRODUCTION_QUANTITY,WB_CCKP_CDD,WB_CCKP_CDD65,WB_CCKP_CSDI,WB_CCKP_CWD,WB_CCKP_FD,WB_CCKP_HD30,WB_CCKP_HD35,WB_CCKP_HD40,WB_CCKP_HD42,WB_CCKP_HD45,WB_CCKP_HD50,WB_CCKP_HDD65,WB_CCKP_HI35,WB_CCKP_HI37,WB_CCKP_HI39,WB_CCKP_HI41,WB_CCKP_HURS,WB_CCKP_ID,WB_CCKP_PR,WB_CCKP_R20MM,WB_CCKP_R50MM,WB_CCKP_R95PTOT,WB_CCKP_RX1DAY,WB_CCKP_RX5DAY,WB_CCKP_SD,WB_CCKP_TAS,WB_CCKP_TASMAX,WB_CCKP_TASMIN,WB_CCKP_TNN,WB_CCKP_TR,WB_CCKP_TR23,WB_CCKP_TR26,WB_CCKP_TR29,WB_CCKP_TR32,WB_CCKP_TX84RR,WB_CCKP_TXX,WB_CCKP_WSDI
Albania,Barley,1990,1000.0,5000.0,5000.0,27.05,548.49,5.6,14.53,20.12,0.0,0.0,0.0,0.0,0.0,0.0,4382.08,0.0,0.0,0.0,0.0,70.44,344.88,963.9,10.02,0.4,309.41,48.86,99.14,66.02,12.5,12.5,12.5,-8.07,66.02,25.22,2.65,0.02,0.0,0.05,24.78,21.31
Albania,Barley,1991,923.1,3600.0,3323.0,23.78,492.26,33.37,9.44,33.1,0.0,0.0,0.0,0.0,0.0,0.0,5171.71,0.0,0.0,0.0,0.0,73.22,331.9,1156.29,14.89,0.99,503.73,47.61,118.42,60.51,11.21,11.21,11.21,-13.93,60.51,21.68,2.48,0.0,0.0,0.03,24.22,0.38
Albania,Barley,1992,1380.2,4035.0,5569.0,29.91,579.35,7.62,10.14,30.34,0.0,0.0,0.0,0.0,0.0,0.0,4862.13,0.0,0.0,0.0,0.0,71.0,335.66,1003.07,11.82,1.13,399.45,57.62,107.01,66.79,11.83,11.83,11.83,-11.56,66.79,27.46,5.56,0.11,0.0,0.08,25.25,0.0
Albania,Barley,1993,1332.4,3117.0,4153.0,24.83,629.48,7.81,9.02,32.41,0.02,0.0,0.0,0.0,0.0,0.0,4799.37,0.0,0.0,0.0,0.0,70.55,332.59,1091.24,13.58,1.32,435.39,58.29,100.15,73.15,11.99,11.99,11.99,-11.03,73.15,30.26,6.19,0.26,0.0,0.1,26.22,6.07
Albania,Barley,1994,2352.3,3826.0,9000.0,24.24,810.85,0.0,11.43,14.55,0.32,0.0,0.0,0.0,0.0,0.0,4272.51,0.0,0.0,0.0,0.0,70.91,350.45,933.5,9.07,0.81,333.74,45.98,95.91,87.27,13.06,13.06,13.06,-6.09,87.27,42.15,11.38,0.88,0.08,0.15,27.95,9.24
Albania,Barley,1995,2252.7,3229.0,7274.0,31.62,462.45,14.32,9.15,23.36,0.0,0.0,0.0,0.0,0.0,0.0,4853.11,0.0,0.0,0.0,0.0,73.99,341.64,1414.03,16.71,1.48,505.9,54.97,121.32,55.65,11.65,11.65,11.65,-9.54,55.65,20.28,3.32,0.04,0.0,0.03,24.53,0.0
Albania,Barley,1996,1337.9,2388.0,3195.0,20.89,523.09,8.55,9.83,25.41,0.0,0.0,0.0,0.0,0.0,0.0,4856.5,0.0,0.0,0.0,0.0,73.94,340.59,1504.5,20.99,1.94,604.81,56.09,126.6,62.31,11.76,11.76,11.76,-11.08,62.31,24.6,3.18,0.06,0.0,0.05,25.28,0.65
Albania,Barley,1997,1457.3,2565.0,3738.0,28.5,559.24,21.97,6.24,15.55,0.02,0.0,0.0,0.0,0.0,0.0,4743.84,0.0,0.0,0.0,0.0,70.5,349.45,976.48,12.5,0.55,344.39,49.09,101.2,68.15,11.96,11.96,11.96,-6.12,68.15,25.18,3.13,0.1,0.0,0.05,26.28,0.0
Albania,Barley,1998,1910.6,1700.0,3248.0,26.2,755.23,6.58,8.35,28.15,0.77,0.0,0.0,0.0,0.0,0.0,4744.06,0.09,0.0,0.0,0.0,72.63,336.85,1264.4,18.37,1.65,546.91,57.44,105.06,75.88,12.26,12.26,12.26,-9.66,75.88,40.34,14.42,1.82,0.06,0.17,28.08,4.97
Albania,Barley,1999,1812.5,1600.0,2900.0,20.21,694.39,0.12,10.73,24.53,0.27,0.0,0.0,0.0,0.0,0.0,4437.6,0.0,0.0,0.0,0.0,74.14,340.47,1309.07,15.68,0.98,415.77,46.72,115.81,79.01,12.64,12.64,12.64,-9.12,79.01,33.54,7.02,0.74,0.04,0.1,27.79,3.81
