Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1990","1990","ha","5000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1991","1991","ha","3600","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1992","1992","ha","4035","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1993","1993","ha","3117","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1994","1994","ha","3826","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1995","1995","ha","3229","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1996","1996","ha","2388","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1997","1997","ha","2565","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1998","1998","ha","1700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","1999","1999","ha","1600","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2000","2000","ha","1200","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2001","2001","ha","1200","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2002","2002","ha","800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2003","2003","ha","1550","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2004","2004","ha","1500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2005","2005","ha","1502","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2006","2006","ha","2175","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2007","2007","ha","1400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2008","2008","ha","1400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2009","2009","ha","1700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2010","2010","ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2011","2011","ha","2840","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2012","2012","ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2013","2013","ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2014","2014","ha","2703","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2015","2015","ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2016","2016","ha","3104","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2017","2017","ha","3065","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2018","2018","ha","3397","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2019","2019","ha","2742","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2020","2020","ha","3771","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2021","2021","ha","5071","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2022","2022","ha","5597","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2023","2023","ha","6260","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1990","1990","ha","62000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1991","1991","ha","44303","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1992","1992","ha","62736","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1993","1993","ha","72669","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1994","1994","ha","74767","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1995","1995","ha","68870","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1996","1996","ha","65654","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1997","1997","ha","61145","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1998","1998","ha","56599","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","1999","1999","ha","55000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","53000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2001","2001","ha","52000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2002","2002","ha","50000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","48336","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","46800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","48391","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","48971","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","46200","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","49000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","47600","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","54200","A","Official figure",""
