Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1990","1990","t","5000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1991","1991","t","3323","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1992","1992","t","5569","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1993","1993","t","4153","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1994","1994","t","9000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1995","1995","t","7274","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1996","1996","t","3195","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1997","1997","t","3738","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1998","1998","t","3248","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","1999","1999","t","2900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2000","2000","t","1800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2001","2001","t","3000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2002","2002","t","3800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2003","2003","t","2900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2004","2004","t","3700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2005","2005","t","4100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2006","2006","t","6000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2007","2007","t","3500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2008","2008","t","3600","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2009","2009","t","4500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2010","2010","t","7300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2011","2011","t","8700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2012","2012","t","7000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2013","2013","t","6970","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2014","2014","t","7300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2015","2015","t","7000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2016","2016","t","9000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2017","2017","t","9035","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2018","2018","t","9655","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2019","2019","t","7942","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2020","2020","t","12645","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2021","2021","t","15310","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2022","2022","t","19014","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2023","2023","t","21178.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1990","1990","t","227000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1991","1991","t","128779","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1992","1992","t","156063","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1993","1993","t","175751","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1994","1994","t","193261","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1995","1995","t","215566","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1996","1996","t","214059","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1997","1997","t","194818","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1998","1998","t","189130","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","1999","1999","t","206000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2000","2000","t","205700","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2001","2001","t","198300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2002","2002","t","197300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2003","2003","t","206900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2004","2004","t","216200","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2005","2005","t","219900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2006","2006","t","245400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2007","2007","t","215900","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2008","2008","t","245000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2009","2009","t","265100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2010","2010","t","362000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2011","2011","t","366400","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2012","2012","t","360000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2013","2013","t","372000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2014","2014","t","380000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2015","2015","t","380000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2016","2016","t","379714","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2017","2017","t","381059","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0112","Maize (corn)","2018","2018","t","391104","A","Official figure",""
