Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1990","1990","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1991","1991","kg/ha","923.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1992","1992","kg/ha","1380.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1993","1993","kg/ha","1332.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1994","1994","kg/ha","2352.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1995","1995","kg/ha","2252.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1996","1996","kg/ha","1337.9","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1997","1997","kg/ha","1457.3","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1998","1998","kg/ha","1910.6","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","1999","1999","kg/ha","1812.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2000","2000","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2001","2001","kg/ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2002","2002","kg/ha","4750","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2003","2003","kg/ha","1871","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2004","2004","kg/ha","2466.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2005","2005","kg/ha","2729.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2006","2006","kg/ha","2758.6","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2007","2007","kg/ha","2500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2008","2008","kg/ha","2571.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2009","2009","kg/ha","2647.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2010","2010","kg/ha","2920","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2011","2011","kg/ha","3063.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2012","2012","kg/ha","2800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2013","2013","kg/ha","2788","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2014","2014","kg/ha","2700.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2015","2015","kg/ha","2800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2016","2016","kg/ha","2899.5","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2017","2017","kg/ha","2947.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2018","2018","kg/ha","2842.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2019","2019","kg/ha","2896.4","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2020","2020","kg/ha","3353.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2021","2021","kg/ha","3019.1","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2022","2022","kg/ha","3397.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0115","Barley","2023","2023","kg/ha","3383.2","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","3661.3","A","Official figure",""
