mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.910176674524943,0.012888722669393483,0.0047651926676432295,0.00010128727890445813,0.05,3,,100,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100, 'subsample': 0.6}",-1554570.3718437504,-1441493.1151758374,-1586589.8112909235,-1527551.099436837,62240.35998678911,505
1.0480951468149822,0.017742624225693202,0.004864215850830078,0.00017132063001362404,0.05,3,,100,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100, 'subsample': 0.7}",-1614649.9708213613,-1452434.4274733583,-1592196.117934476,-1553093.5054097318,71764.57508463424,507
1.147600571314494,0.009946559927236856,0.004464070002237956,0.00011228921685150803,0.05,3,,100,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100, 'subsample': 0.8}",-1589702.680706696,-1438374.6337089874,-1599850.8284631867,-1542642.7142929565,73844.97589419215,506
1.367768923441569,0.03363585309804564,0.004216194152832031,6.965659011982175e-05,0.05,3,,100,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100, 'subsample': 1.0}",-1655774.8980277919,-1465199.035341924,-1590107.7592458038,-1570360.5642051732,79045.36100069467,508
2.277143398920695,0.1260551113013391,0.011808315912882486,0.004521393038872526,0.05,3,,200,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200, 'subsample': 0.6}",-1345075.789934114,-1239980.771119959,-1446693.6636301212,-1343916.7415613981,84394.16459814107,457
2.101027011871338,0.0754758541143945,0.0059490203857421875,0.00012395855560787546,0.05,3,,200,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200, 'subsample': 0.7}",-1388427.8234411727,-1247904.5241691794,-1448565.7532064095,-1361632.700272254,84082.16687229653,465
2.2801758448282876,0.027651571004415825,0.00589450200398763,0.0002995138612482228,0.05,3,,200,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200, 'subsample': 0.8}",-1342005.571853758,-1233820.0132906022,-1442997.567204745,-1339607.7174497019,85413.20953530671,455
3.0131553014119468,0.32170706631803725,0.009621063868204752,0.004259054449095059,0.05,3,,200,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200, 'subsample': 1.0}",-1423923.1335229839,-1276102.3941968754,-1409892.858688473,-1369972.795469444,66623.07572849805,475
2.9028040568033853,0.21331447459539823,0.007455190022786458,0.00041787916360148074,0.05,3,,300,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 300, 'subsample': 0.6}",-1241711.0910371654,-1139646.9619814607,-1366480.278163462,-1249279.4437273627,92758.82097986998,410
3.1136325200398765,0.02349453890584253,0.007634639739990234,0.00038740473443541764,0.05,3,,300,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 300, 'subsample': 0.7}",-1274028.626259691,-1158032.2943671078,-1346886.6853759605,-1259649.2020009197,77767.05014482446,415
4.381502628326416,0.6377054848498566,0.007488250732421875,0.0003227962751839081,0.05,3,,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 300, 'subsample': 0.8}",-1236859.382930857,-1141006.424039664,-1362520.005959697,-1246795.2709767392,90705.0463396094,407
4.090143918991089,0.09612624573366757,0.011924823125203451,0.006048461179157105,0.05,3,,300,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 300, 'subsample': 1.0}",-1317423.13088514,-1188141.9539561614,-1322305.2372675342,-1275956.7740362787,62126.434040912434,433
4.06022032101949,0.3397423234954903,0.008974552154541016,0.0006120574415194165,0.05,3,,400,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 400, 'subsample': 0.6}",-1182132.0447511051,-1084062.0798028412,-1309527.4077372616,-1191907.1774304027,92304.99603422463,328
4.306562662124634,0.2808141098686857,0.010777473449707031,0.0019517561843525161,0.05,3,,400,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 400, 'subsample': 0.7}",-1195172.7270366014,-1099052.9841242805,-1304104.9826255399,-1199443.564595474,83766.58268637849,335
4.830789566040039,0.29592600490421456,0.009106715520222982,0.0002997410117421121,0.05,3,,400,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 400, 'subsample': 0.8}",-1175684.5015633095,-1092582.6304581435,-1342425.196297174,-1203564.1094395425,103885.45399543659,341
5.827495733896892,0.35882462811193755,0.008352279663085938,1.7423597571376834e-05,0.05,3,,400,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 400, 'subsample': 1.0}",-1234779.546156723,-1133128.5768713504,-1256087.370453047,-1207998.4978270403,53650.937500315755,350
0.2067433993021647,0.0012633461528825894,0.00422358512878418,0.00011055751700546824,0.05,3,sqrt,100,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.6}",-1701450.7329397677,-1548921.1155130253,-1551834.6626370868,-1600735.5036966268,71226.35392575267,511
0.2235888640085856,0.0034222099634233214,0.0050593217213948565,0.0009371830165093092,0.05,3,sqrt,100,0.7,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.7}",-1688185.2796195801,-1549416.314343324,-1554205.9741220875,-1597269.1893616638,64317.11442033793,510
