feature,feature_label,mean_abs_shap
ITEM_Maize,Maize,750.5267653080664
WB_CCKP_TNN,Min of Daily Min Temperatures,541.8943836317304
ITEM_Barley,Barley,310.75714987225
WB_CCKP_PR,Precipitation,256.71055996340147
WB_CCKP_HURS,Relative Humidity,236.02621050395942
WB_CCKP_HDD65,Heating Degree Days 65°F,214.23180513412865
WB_CCKP_SD,Snow Days,200.17474764758657
WB_CCKP_CDD,Consecutive Dry Days,171.23581518589202
WB_CCKP_TX84RR,Max Temp on Rainy Days (84th %),162.66541409208756
WB_CCKP_TR29,Tropical Nights >29°C,157.62339086970624
WB_CCKP_TR23,Tropical Nights >23°C,147.78017809167153
WB_CCKP_FD,Frost Days,126.56341005013081
WB_CCKP_ID,Ice Days,123.48910337791689
WB_CCKP_CDD65,Cooling Degree Days 65°F,121.30619033435501
WB_CCKP_TAS,Mean Temperature,105.1969406510758
WB_CCKP_R20MM,Heavy Rain Days (≥20mm),103.73840339962317
WB_CCKP_WSDI,Warm Spell Duration Index,99.93024524192687
WB_CCKP_RX5DAY,Max 5-Day Precipitation,93.72606750732744
WB_CCKP_R95PTOT,Extreme Rain (95th percentile),93.71999160381293
WB_CCKP_RX1DAY,Max 1-Day Precipitation,85.08598924871006
WB_CCKP_TXX,Max of Daily Max Temperatures,61.746577356580076
WB_CCKP_TR26,Tropical Nights >26°C,61.552560539260234
WB_CCKP_CWD,Consecutive Wet Days,52.65200471417943
WB_CCKP_CSDI,Cold Spell Duration Index,47.693749407207
WB_CCKP_TR,Tropical Nights,46.00714562047112
WB_CCKP_HD30,Hot Days >30°C,40.99449944481071
WB_CCKP_R50MM,Very Heavy Rain Days (≥50mm),40.06207504788684
ITEM_Wheat,Wheat,40.023025568151496
WB_CCKP_TR32,Tropical Nights >32°C,22.987654558007247
WB_CCKP_TASMAX,Max Temperature,14.738314768246306
WB_CCKP_HD35,Hot Days >35°C,1.9388014011880212
WB_CCKP_TASMIN,Min Temperature,1.584155888953659
WB_CCKP_HI35,Heat Index >35°C,0.1729963667016534
WB_CCKP_HD45,Hot Days >45°C,0.0828922716980096
WB_CCKP_HD50,Hot Days >50°C,0.0
